"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","full-text","full-text","17","10.2306/scienceasia1513-1874.2025.027","rhodomyrtus tomentosa (aiton) hassk.","colletotrichum","leaf","present","endophytic","isolated from surface-sterilized leaves across southern region of thailand.","tropical coastal forests and river plains","thailand","full-text","doi_10.2306_scienceasia1513-1874.2025.027","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s00572-020-00975-7","stipa krylovii","funneliformis mosseae","root","present","mycorrhizal",NA,"(not provided in text)","(not provided in text)","abstract-csv","doi_10.1007_s00572-020-00975-7","Abstract"
"Relevant","abstract","abstract","0","10.1007/s41348-019-00236-6","malus domestica (m26 rootstock)","zalerion","root","present","pathogenic or endophytic","isolated from replant-diseased root tissue","tested in vitro and greenhouse conditions",NA,NA,"abstract-csv; doi_10.1007_s41348-019-00236-6","Abstract"
"Relevant","full-text","full-text","7","10.3324/haematol.2009.020073","human (hematologic malignancies)","aspergillus sp.",NA,"present","pathogenic","documented previous invasive fungal infections may be a major obstacle to the success of hsct and may affect patients’ survival.",NA,NA,"belgium",NA,"Full-Text"
"Relevant","abstract","abstract","0",NA,"hordeum vulgare (cv. tapir)","chaetomium funicola","root","leaf","present","endophytic","isolated from roots and later from leaves without causing any symptoms.",NA,NA,"abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.4014/jmb.1402.02035","gossypium hirsutum","alternaria sp.","leaf","present","endophytic","isolated from leaf tissues of resistant cotton varieties",NA,NA,"abstract-csv","doi_10.4014_jmb.1402.02035","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.ympev.2018.02.013","micrairoideae","claviceps","ovarial grass","present","pathogenic","specialised parasites with a close relationship with their host plants","evolution influenced by interactions with the new hosts and spread to different continents or host plant radiation.","grasses and sedges","origin in south america","abstract-csv; doi_10.1016_j.ympev.2018.02.013","Abstract"
"Relevant","abstract","abstract","0","10.1094/phyto-70-1175","rhododendron sp.","phytophthora sp. (p. root-rot)","root","present","pathogenic","causing high levels of mortality on container-grown plants",NA,NA,"abstract-csv","doi_10.1094_phyto-70-1175","Abstract"
"Relevant","abstract","abstract","0","10.3389/fpls.2022.933738","astragalus adsurgens","endophytic","root","present","endophytic",NA,"but presumed to be root as its an endophyte.","extremely arid habitat","(not provided in text)","abstract-csv; doi_10.3389_fpls.2022.933738","Abstract"
"Relevant","full-text","full-text","9","10.1590/s1516-8913201402043","winter wheat","neotyphodium","internal tissues","leaf","root","glumes","present","endophytic","isolated from internal tissues of plants",NA,"Full-Text"
"Relevant","abstract","abstract","0","10.1016/j.pmpp.2018.09.006","panax ginseng","eleven strains","root","present","pathogenic","endophytic","isolated from infected korean ginseng root rot",NA,"korea","abstract-csv; doi_10.1016_j.pmpp.2018.09.006","Abstract"
"Relevant","abstract","abstract","0","10.5530/pj.2014.4.2","mikania laevigata (asteraceae)","xylaria luteostromata","leaves","present","endophytic","isolated from leaves of m. laevigata cultivated in a floral garden located in the south region of bahia state","brazil.","floral garden","brazil","abstract-csv; doi_10.5530_pj.2014.4.2","Abstract"
"Relevant","abstract","abstract","0","10.1016/s0378-1097(03)00426-9","grevillea pteridifolia","streptomyces sp nrrl 30566","fern-leaved grevillea tree (implied leaf tissue)","present","endophytic","isolated from fern-leaved grevillea tree","northern territory of australia","australia","abstract-csv","doi_10.1016_s0378-1097(03)00426-9","Abstract"
"Relevant","abstract","abstract","0","10.1093/jxb/25.2.390","hordeum vulgare (barley)","beauveria sp. (systemic fungicide - ethirimol)","root","present","biocontrol agent","isolated as a systemic fungicide","not an endophyte or symbiont in this context.",NA,NA,"abstract-csv; doi_10.1093_jxb_25.2.390","Abstract"
"Relevant","abstract","abstract","0","10.3767/003158512x639791","eucalyptus","pseudohawaiiensis","leaves","twigs","present","endophytic and saprotrophic","commonly associated with leaf spots","also occur as saprobes and endophytes",NA,"australia; south africa; italy; abstract-csv; doi_10.3767_003158512x639791","Abstract"
"Relevant","abstract","abstract","0","10.3390/metabo14010048","angelica sinensis (oliv.) diels","sodiomyces alcalophilus","root","present","endophytic","isolated from angelica sinensis (oliv.) diels roots","(not provided in text)","(not provided in text)","abstract-csv","doi_10.3390_metabo14010048","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11274-020-02954-8","fabaceae","ascochyta rabiei",NA,"present","pathogenic","causes major losses in chickpea crop",NA,NA,"abstract-csv","doi_10.1007_s11274-020-02954-8","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11557-024-02009-4","anadenanthera colubrina","aureobasidium caatingaense sp. nov.",NA,NA,"present","endophytic","isolated from anadenanthera colubrina trees in a tropical dry forest (caatinga) in brazil","tropical dry forest (caatinga)","brazil","abstract-csv; doi_10.1007_s11557-024-02009-4","Abstract"
"Relevant","abstract","abstract","0","10.1111/pce.14403","terrestrial plants (general)","anaerobic microbes","rhizosphere and roots","present","pathogenic or soil denitrification (if anaerobic microbes are pathogenic)","presence favored by hypoxic conditions during flooding","terrestrial","(not provided in text)","abstract-csv","doi_10.1111_pce.14403","Abstract"
"Relevant","abstract","abstract","0","10.5943/sif/6/1/35","citrofortunella microcarpa (bunge) wijnands","nigrospora rubi","stem","leaves","present","endophytic","isolated from stem and leaves",NA,"philippines","abstract-csv; doi_10.5943_sif_6_1_35","Abstract"
"Relevant","full-text","full-text","13","10.1186/s40793-022-00423-3","multiple tree species with varying phylogenetic identities","not explicitly mentioned","leaves","present","mutualistic (contribute to host plant performance and fitness)","phyllosphere microbes","isolated from the leaf surface of various tree species","subtropical forest","china","full-text; doi_10.1186_s40793-022-00423-3","Full-Text"
"Relevant","abstract","abstract","0","10.1094/pdis-01-12-0075-re","dactylis glomerata (orchardgrass)","epichloe typhina","leaf","present","endophytic","infection is presumed to occur through leaves or stems. germination and growth of e. typhina was greatest at 25 degrees c",NA,"agricultural field",NA,"abstract-csv; doi_10.1094_pdis-01-12-0075-re","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11274-024-03986-0","simmondsia chinensis (jojoba)","aphelidiomycota","soil","root","branch","fruit","present","endophytic (based on culture-independent analysis)",NA,NA,"Abstract"
"Relevant","abstract","abstract","0","10.5897/ajmr11.1596","podophyllum hexandrum","fusarium solani","root","present","endophytic","isolated from roots",NA,NA,"abstract-csv","doi_10.5897_ajmr11.1596","Abstract"
"Relevant","abstract","abstract","0",NA,"ipomoea pes-caprae","chaetomium globosum","root","present","endophytic","isolated from roots using plating on malt extract agar and damp incubation techniques.","coastal sand dunes","india","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.envexpbot.2006.10.001","lolium perenne","neotyphodium lolii","leaf","root","present","endophytic","isolated from accessions from italy","turkey","morocco and tunisia. endophyte exterminated from half of the ramets (-e).",NA,"Abstract"
"Relevant","abstract","abstract","0","10.1002/jsfa.9865","arachis hypogaea (peanut)","phomopsis liquidambari","soil residue","present","endophytic","isolated from soil containing peanut residues","exhibits biodegradation of resveratrol","agricultural field",NA,"abstract-csv; doi_10.1002_jsfa.9865","Abstract"
"Relevant","abstract","abstract","0","10.3897/mycokeys.62.47854","betulaceae","c. coryli",NA,"present","pathogenic and endophytic","isolated from tree hosts in mount dongling","china. associated with canker disease.","mountain","china","abstract-csv; doi_10.3897_mycokeys.62.47854","Abstract"
"Relevant","abstract","abstract","0","10.1094/pdis-04-23-0759-re","prunus dulcis","diaporthe neotheicola","wood","present","pathogenic","isolated from wood samples showing gum and internal discoloration in almond trees suffering from almond decline syndrome.","intensive almond plantations","andalusia region (southern spain)","spain","abstract-csv; doi_10.1094_pdis-04-23-0759-re","Abstract"
"Relevant","abstract","abstract","0","10.1071/cp23149","lolium perenne","pectinolytic fungi","soil","present","endophytic (for epichloe)","pathogenic (for certain fungal phytopathogens)","mycorrhizal",NA,"increasing mycorrhizal fungi and reducing n-fixing bacteria.","grassland; (not provided in text); abstract-csv; doi_10.1071_cp23149","Abstract"
"Relevant","abstract","abstract","0","10.1111/pce.14912","lolium spp. (ryegrass)","epichloë spp.","phyllosphere","present","endophytic","alkaloid-producing","fungus induces plant growth and produces antiherbivore alkaloids",NA,NA,"abstract-csv; doi_10.1111_pce.14912","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.funbio.2012.12.005","cephalotaxus harringtonia","blast groups","foliar and stem","present","endophytic","saprotrophic","isolated from foliar and stem of c. harringtonia within its natural range in japan and outside its natural range in france.",NA,"japan","france; abstract-csv; doi_10.1016_j.funbio.2012.12.005","Abstract"
"Relevant","abstract","abstract","0","10.1139/b96-131","picea glauca","phialocephala fortinii","root","present",NA,"amensal","parasitic",NA,"formation of hartig net and a thin",NA,"Abstract"
"Relevant","abstract","abstract","0","10.1016/j.jare.2014.07.005","murraya koenigii","phoma",NA,"present","endophytic","isolated from four plants with anticancer properties. l-asparaginase production was detected by the formation of pink zones on agar.",NA,NA,"abstract-csv","doi_10.1016_j.jare.2014.07.005","Abstract"
"Relevant","full-text","abstract","0","10.7606/j.issn.1000-7601.2023.02.23","malus domestica (apple)","cladosporium","leaf","present","pathogenic","isolated from leaves of different apple varieties in an arid area. upgma analysis showed differences related to apple varieties.","arid","xinjiang","china","abstract-csv; doi_10.7606_j.issn.1000-7601.2023.02.23","Full-Text"
"Relevant","abstract","abstract","0","10.3390/jof9040421","peumus boldus","mycorrhizal fungi (unspecified)","plants as a whole","present","mycorrhizal","inoculated for restoration after fire event","chilean matorral (mediterranean-type ecosystem)","chile","abstract-csv","doi_10.3390_jof9040421","Abstract"
"Relevant","abstract","abstract","0",NA,"oak","ascomycota (38 species in 27 genera)",NA,"present",NA,"but specific fungi not identified as endophytes","pathogens",NA,"microfungi identified through microscopic examination of trees in uludag forests between 2002 and 2008.","forest; turkey; abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11557-020-01636-x","triticum boeoticum","allocanariomyces tritici","seed","present","endophytic","isolated from seed of triticum boeoticum",NA,"iran","abstract-csv","doi_10.1007_s11557-020-01636-x","Abstract"
"Relevant","abstract","abstract","0","10.1080/10286020.2012.733701","aconitum transsectum","alternaria solani","root","present","endophytic","isolated from root",NA,NA,"abstract-csv","doi_10.1080_10286020.2012.733701","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.pmpp.2020.101525","oryza sativa (rice)","trichoderma longibrachiatum ef5","leaf","present","antagonistic endophytic","isolated from rice leaves","agricultural field",NA,"abstract-csv","doi_10.1016_j.pmpp.2020.101525","Abstract"
"Relevant","abstract","abstract","0","10.1111/j.1469-8137.1994.tb04264.x","subterranean clover (trifolium subterraneum l.)","acaulospora spp.","root","present","mycorrhizal","natural habitatannual clover-based pastures in western australia. experiment involved false breaks during summer","followed by a growing season.","pastureland in mediterranean climate","australia","abstract-csv; doi_10.1111_j.1469-8137.1994.tb04264.x","Abstract"
"Relevant","abstract","abstract","0","10.3390/agriculture12111930","fagus sylvatica (european chestnut)","ciboria batschiana","fruit","present","pathogenic",NA,"black","gray",NA,NA,"Abstract"
"Relevant","full-text","full-text","4","10.1590/s0100-54052010000100016","pinus taeda l.","papulaspora","needles","present","endophytic","isolated from surface-sterilized needles","located at colombo","pr","brazil. altitude 920m.","temperate always humid; brazil; full-text; doi_10.1590_s0100-54052010000100016","Full-Text"
"Relevant","abstract","abstract","0","10.3390/plants11030255","triticum aestivum (wheat)","botryosphaeria sp.",NA,"present","biocontrol agent","screened and identified as antagonistic strains against fusarium pseudograminearum causing crown rot of wheat",NA,"china","abstract-csv","doi_10.3390_plants11030255","Abstract"
"Relevant","abstract","abstract","0","10.12403/j.1001-1498.20220239","eucommia ulmoides","debaryomyces","seeds","present","endophytic","promoting the growth of host plants and absorption of soil nutrients by host","degrading organic matter","isolated from eucommia ulmoides seeds",NA,NA,"Abstract"
"Relevant","full-text","full-text","12","10.3389/fmicb.2025.1554706","panax ginseng","ilyonectria","root","present","pathogenic","fusarium solani causes root rot in panax ginseng","while gibberella","nectria","ilyonectria",NA,"Full-Text"
"Relevant","abstract","abstract","0","10.1016/j.plaphy.2024.108454","glycine max (soybean)","macrophomina phaseolina","root","present","pathogenic","causing root rot disease",NA,NA,"abstract-csv","doi_10.1016_j.plaphy.2024.108454","Abstract"
"Relevant","abstract","abstract","0",NA,"t. chebula","pestalotiopsis (multiple species)","root","bark","twigs","present","endophytic","isolated from medicinally important plants","(not provided in text)","(not provided in text); abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1046/j.1469-8137.1998.00256.x","woollsia pungens (cav.) f. muell.","ericoid mycorrhizal endophytes","root","present","endophytic","isolated from surface-sterilized roots","formed typical ericoid mycorrhizal structures on vaccinium macrocarpon ait.","field site in new south wales","australia","australia; abstract-csv; doi_10.1046_j.1469-8137.1998.00256.x","Abstract"
"Relevant","abstract","abstract","0","10.5846/stxb201212061754","artemisia argyi","paenibacillus polymyxa","roots","stems","leaves","present","antagonistic endophytic","isolated from various plant tissues and shown antagonistic effect against fusarium oxysporum","magnaporthe grisea","and alternaria alternate; (not provided in text); (not provided in text); abstract-csv; doi_10.5846_stxb201212061754","Abstract"
"Relevant","abstract","abstract","0","10.3390/f12121624","betula aetnensis raf.","tylospora","root","present","endophytic",NA,NA,NA,"pezizales",NA,"Abstract"
"Relevant","full-text","full-text","50","10.1007/s00253-021-11554-x","not specified","endophytic fungi","not specified","present",NA,"saprotrophic","mycorrhizal","long-term co-evolution","biotransformation abilities","not specified; not specified; full-text; doi_10.1007_s00253-021-11554-x","Full-Text"
"Relevant","abstract","abstract","0","10.1177/1934578x1000500718","ceramium sp.","phaeosphaeria spartinae","not specified","present",NA,"isolated from the marine alga ceramium sp.","marine","","abstract-csv","doi_10.1177_1934578x1000500718","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.revpalbo.2011.11.009","equisetales","cashhickia acuminata nov. gen. et sp.","root","present",NA,"intracellular hyphae in the outer cortex; host responses in the form of callosities indicate the roots were alive at the time of infection.",NA,"upper pennsylvanian grand-croix cherts of france","france","abstract-csv; doi_10.1016_j.revpalbo.2011.11.009","Abstract"
"Relevant","abstract","abstract","0","10.1016/s1875-5364(12)60017-x","avicenna officialis","hypocrea lixii vb1","leaves","present",NA,"isolated from mangrove leaves","mangrove","not specified","abstract-csv","doi_10.1016_s1875-5364(12)60017-x","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11557-021-01740-6","dry deciduous (dd)","nodulisporium","leaf","present",NA,"isolated from mature leaves of twenty-five woody tree species with a colonization frequency of < 5%","tropical dry thorn","dry deciduous","and montane evergreen forests","india; abstract-csv; doi_10.1007_s11557-021-01740-6","Abstract"
"Relevant","full-text","full-text","14","10.3389/fmicb.2017.01251","smilax china l.","mycosphaerella nawae zjlq129","leaves","present",NA,"isolated from healthy leaves of the medicinal plant.","zhejiang province","china","china","full-text; doi_10.3389_fmicb.2017.01251","Full-Text"
