"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","abstract","abstract",0,"10.7717/peerj.10487","myrtus communis","hymenochaetales (orders)","foliar endophytome","present","saprotrophic","inhabiting the internal leaf tissue","possibly for enhanced dispersal to substrates on the forest floor.","mediterranean","(not provided in text)","abstract-csv,doi_10.7717_peerj.10487","Abstract"
"Relevant","abstract","abstract",0,"10.1128/genomea.00825-17","corchorus olitorius var. 2015","grammothele lineata",NA,"present","endophytic","isolated from jute species",NA,NA,"abstract-csv","doi_10.1128_genomea.00825-17","Abstract"
"Relevant","abstract","abstract",0,"10.1002/ece3.6604","arctostaphylos alpina","root-associated endophytic fungi","root","present","endophytic","mycorrhizal","investigated using dna barcoding based on the its region","study conducted at a high arctic site","arctic tundra",NA,"Abstract"
"Relevant","abstract","abstract",0,"10.1890/15-0635.1","melinis repens","or pasture sites","root","present","endophytic","interactive effects of plant and fungal arrival history; negative impact when introduced early with home fungi","but negative effects eliminated by introducing different plant species or fungi from a different site type.","florida scrubland","usa","abstract-csv,doi_10.1890_15-0635.1","Abstract"
"Relevant","abstract","abstract",0,NA,"eruca sativa (aethusa cynapium)","eumericella violacea","root","leaves","rhizosphere soil","present","endophytic","epiphytic","soil-associated","isolated from various tissues of eruca sativa and its soil.,,,abstract-csv,doi_nan","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s11274-020-02823-4","zea mays l.","beauveria bassiana (bals.) vuillemin","roots","shoots","leaves","present","endophytic","established endophytic symbiosis with plants. colonization was determined by b. bassiana recovery from plant tissues plated on pda medium.",NA,"not provided,abstract-csv,doi_10.1007_s11274-020-02823-4","Abstract"
"Relevant","full-text","full-text",10,"10.1007/s13205-017-0768-8","zingiber ofﬁcinale rosc.","earliella sp.","rhizomes","present","endophytic","isolated from surface-sterilized rhizomes",NA,"india","full-text","doi_10.1007_s13205-017-0768-8","Full-Text"
"Relevant","abstract","abstract",0,NA,"dendrobium officinale","namepholiota","root","present","endophytic","isolated from inoculated roots","mainly found in velamina and cortex cells.","not provided (abstract)","not provided (abstract)","abstract-csv,doi_nan","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.micres.2023.127365","sinningia schiffneri","basidiomycota","leaf blades","present","endophytic","associated with leaf blades",NA,"brazil","abstract-csv","doi_10.1016_j.micres.2023.127365","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.funbio.2020.07.002","dendrobium catenatum","tulasnella sp.",NA,"present","endophytic",NA,NA,NA,"abstract-csv","doi_10.1016_j.funbio.2020.07.002","Abstract"
"Relevant","abstract","abstract",0,NA,"prosopis juliflora (sw.) dc.","paecilomyces lilacinus","leaves","present","endophytic","antibacterial","antifungal","isolated from leaves.",NA,",abstract-csv,doi_nan","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.fgb.2012.05.001","zea mays","namefusarium verticillioides",NA,"present","mutualistic (defensive) and pathogenic","f. verticillioides modulates the growth of u. maydis","decreasing the pathogens aggressiveness toward the plant.",NA,NA,"abstract-csv,doi_10.1016_j.fgb.2012.05.001","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.microb.2024.100058","hordeum vulgare l.","hypocreales","root","present","endophytic","potential biofertilizer","isolated from commercial barley roots","tested for phosphate solubilization capabilities.",NA,",abstract-csv,doi_10.1016_j.microb.2024.100058","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.bcab.2018.02.015","zingiber officinale rosc.","rhizopycnis vagum","rhizome","present","antagonistic (biocontrol agent)","isolated from ginger and found to prevent infection by pythium myriotylum","enhancing germination and bud development.",NA,NA,"abstract-csv,doi_10.1016_j.bcab.2018.02.015","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s10658-006-9089-1","quercus pubescens","diplodia corticola (isolate 79)","stem","present","biocontrol agent for diplodia corticola","isolated from declining oak tissues","ability to control diplodia corticola (isolate 79) assessed through in vitro and in planta tests.","oak forest",NA,"abstract-csv,doi_10.1007_s10658-006-9089-1","Abstract"
"Relevant","full-text","full-text",11,"10.1371/journal.pone.0026458","bryopsis hypnoides j.v. lamouroux","xanthomonadaceae","cytoplasm","present","endophytic","isolated from surface-sterilized roots","marine","mexico","full-text","doi_10.1371_journal.pone.0026458","Full-Text"
"Relevant","full-text","full-text",7,"10.1590/s1516-89132006000600003","glycine max (l.) merrill","aspergillus","leaf","stem","present","endophytic","isolated from surface-sterilized roots and stems. collected from field and greenhouse grown soybean plants.","tropical mesothermic savanna","brazil","full-text,doi_10.1590_s1516-89132006000600003","Full-Text"
"Relevant","abstract","abstract",0,"10.1016/1074-5521(95)90100-0","torreya taxifolia","pestalotiopsis microspora","inner bark","present","endophytic-pathologic","the fungus resides in the inner bark of symptomless trees","and physiological or environmental factors could trigger its pathological activity.",NA,"north america","abstract-csv,doi_10.1016_1074-5521(95)90100-0","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s11274-012-1187-y","eremophilia longifolia","unclassified fungus","leaves","present","endophytic","isolated from leaves.",NA,"australia","abstract-csv","doi_10.1007_s11274-012-1187-y","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.cropro.2007.05.001","eucalyptus sp.","quambalaria eucalypti","leaf","present","pathogenic","causes leaf spot disease in mini-clonal hedges.",NA,NA,"abstract-csv","doi_10.1016_j.cropro.2007.05.001","Abstract"
"Relevant","abstract","abstract",0,"10.1080/00275514.2018.1499991","haploxylon pine","lophodermium sp. nov.","pine needles","present","endophytic","associated with haploxylon pines from the pacific northwest","resembles l. nitens but has distinct upper ascocarp wall.","pacific northwest forest","united states","abstract-csv,doi_10.1080_00275514.2018.1499991","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s40003-015-0191-5","arabica coffee (coffea arabica)","coffee leaf rust (hemileia vastatrix)","leaf","present","pathogenic","the text indicates that the fungus is a major disease affecting arabica coffee production. it does not specify how or where the fungus was detected","but its clear that it negatively impacts the plant.","coffee-growing regions","india","abstract-csv,doi_10.1007_s40003-015-0191-5","Abstract"
"Relevant","abstract","abstract",0,"10.1094/pdis-05-14-0507-pdn","brassica oleracea l. var. capitata l.","fusarium avenaceum (fries) saccardo","leaf","internal tissue","present","pathogenic","isolated from surface-sterilized roots and infected internal tissue. kochs postulates were conducted to establish pathogenicity.",NA,"poland","abstract-csv,doi_10.1094_pdis-05-14-0507-pdn","Abstract"
"Relevant","abstract","abstract",0,"10.3390/jof8111143","quercus aliena var. acutiserrata","tubakia americana","leaves","present","pathogenic","isolated from diseased leaves and seeds","pathogenicity tested on young","excised leaves",NA,"china,abstract-csv,doi_10.3390_jof8111143","Abstract"
"Relevant","full-text","full-text",5,"10.25259/sni_750_2022","homo sapiens","candida dubliniensis",NA,"present","pathogenic","intradural abscess following epidural anesthesia",NA,"united states","full-text","doi_10.25259_sni_750_2022","Full-Text"
"Relevant","abstract","abstract",0,"10.1007/s11274-023-03758-2","fragaria x ananassa","meyerozyma guilliermondii","internal tissues of fruits","present","endophytic","isolated from internal tissues of various fruit species.",NA,"21 countries","abstract-csv","doi_10.1007_s11274-023-03758-2","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1526-100x.2005.00041.x","caesalpinia violacea","acaulospora",NA,"present","mycorrhizal","inoculated with mycorrhizal fungi in soils from early-seral (recently burned) or late-seral (mature forest)","tropical dry seasonal forest","mexico","abstract-csv","doi_10.1111_j.1526-100x.2005.00041.x","Abstract"
"Relevant","abstract","abstract",0,"10.3390/toxins14020066","vitis vinifera l.","pleurophoma ossicola",NA,"present","endophytic","isolated from vineyards in the czech republic. mycotoxins detected include alternariol","tentoxin","meleagrin","roquefortine c","gliotoxin, and verruculogen.,vineyard,czech republic,abstract-csv,doi_10.3390_toxins14020066","Abstract"
"Relevant","full-text","full-text",12,"10.15376/biores.19.2.2724-2735","pinus brutia","arthrinium","shoot","present",NA,"isolated from surface-sterilized shoots","organized industrial zone (oiz) and forested area (adalar)","türkiye","full-text","doi_10.15376_biores.19.2.2724-2735","Full-Text"
"Relevant","abstract","abstract",0,"10.21123/bsj.2023.9004","olea europaea l.","cladosporium sp.","leaf","present","endophytic","isolated from leaves. morphological characteristics and nuclear ribosomal dna its sequence analysis were used for identification.",NA,NA,"abstract-csv","doi_10.21123_bsj.2023.9004","Abstract"
"Relevant","abstract","abstract",0,"10.22055/ppr.2024.46960.1747","triticum aestivum (wheat)","trichoderma aerugineum",NA,"present","endophytic","isolated and assessed for biological control of xanthomonas translucens","the causal agent of bacterial leaf streak of wheat",NA,"iran","abstract-csv,doi_10.22055_ppr.2024.46960.1747","Abstract"
"Relevant","abstract","abstract",0,"10.1111/nph.13418","avena sativa","zymoseptoria tritici","leaf","present","pathogenic","isolated from cereal leaves","visually assessed for disease",NA,NA,"abstract-csv,doi_10.1111_nph.13418","Abstract"
"Relevant","abstract","abstract",0,"10.1127/0029-5035/2014/0176","pseudotsuga menziesii","dark septate endophytes (dse)","root","present","endomycotrophic (arbuscular mycorrhiza and dark septate endophyte)","isolated from invading seedlings in nothofagus-ps. menziesii invasion matrices in patagonia","argentina","nw patagonian forest","argentina","abstract-csv,doi_10.1127_0029-5035_2014_0176","Abstract"
"Relevant","abstract","abstract",0,"10.1658/1100-9233(2003)0140835cblpad2.0.co;2","lolium perenne (perennial ryegrass)","neotyphodium lolii","above-ground biomass","below-ground biomass","rootshoot ratio","present","endophytic","isolated from perennial ryegrass in a glasshouse study examining competitive interactions with digitaria sanguinalis.",NA,NA,"Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf01048825","zea mays l.","entrophospora","root","present","endophytic","inoculated in unsterilized tropical virgin soil","growth enhancement observed.","tropical","brazil","abstract-csv,doi_10.1007_bf01048825","Abstract"
"Relevant","full-text","full-text",24,"10.1007/s10340-020-01306-7","cucumis melo l.","metarhizium brunneum (hypocrealesclavicipitaceae)","plant","present","endophytic","the fungus is endophytically colonizing the plant.","agriculture","spain","full-text","doi_10.1007_s10340-020-01306-7","Full-Text"
"Relevant","full-text","full-text",7,"10.1590/s1516-89132003000200003","glycine max l. merrill (soybean)","cercospora sojina","seed","present","pathogenic","isolated from soybean seeds after 8 hours of incubation in tested solutions.",NA,"brazil","full-text","doi_10.1590_s1516-89132003000200003","Full-Text"
"Relevant","abstract","abstract",0,"10.1007/s00572-013-0512-0","hoffmannseggella cinnabarina","sordariales (and others)","roots","present","potential orchid mycorrhizal fungi (mycorrhizal)","potentially endophytic fungi (endophytic)","associated with roots","constructing clone libraries applied","atlantic forest","brazil,brazil,abstract-csv,doi_10.1007_s00572-013-0512-0","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.resmic.2016.07.001","solanum lycopersicum l.","streptomyces sp.",NA,"present","endophytic","plant-growth-promoting","isolated from solanum lycopersicum and found to have plant-growth-promoting effect in chili (capsicum annuum l.) and tomato (s. lycopersicum l.).",NA,NA,"abstract-csv,doi_10.1016_j.resmic.2016.07.001","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1469-8137.1993.tb03837.x","avena sativa l.","arbuscular mycorrhizal fungi (> 50 mum diameter)","root","present","endophytic","isolated from roots","identified by spore size","agricultural field","uk","abstract-csv,doi_10.1111_j.1469-8137.1993.tb03837.x","Abstract"
"Relevant","abstract","abstract",0,"10.3390/d13110535","crocus sativus","fusarium oxysporum","corms","stems","leaves","tepals","stigmas","present","endophytic",NA,"Abstract"
"Relevant","full-text","full-text",9,"10.1590/s1516-8913201402043","tall fescue","arthopyrenia plumbaria","internal tissues","leaf","root","glumes","present","endophytic","isolated from internal tissues of plants",NA,"Full-Text"
"Relevant","abstract","abstract",0,NA,"epipactis flava (orchidaceae)","tulasnella phuhinrongklaensis","seed","rhizoids","cortical cells","present","symbiotic","in vitro symbiotic seed germination and protocorm development. confirmed through molecular methods.","rheophytic (growing in running water)","southeast asia,abstract-csv,doi_nan","Abstract"
"Relevant","abstract","abstract",0,"10.1111/1574-6968.12090","sanionia uncinata","rhizoscyphus sp.",NA,"present","endophytic","isolated from bryophyte species in antarctica","antarctic","king george island","maritime antarctica","abstract-csv,doi_10.1111_1574-6968.12090","Abstract"
"Relevant","abstract","abstract",0,"10.1021/acs.jnatprod.9b01148","artemisia desertorum","cochliobolus sativus",NA,"present","endophytic","isolated from surface-sterilized roots","desert",NA,"abstract-csv","doi_10.1021_acs.jnatprod.9b01148","Abstract"
"Relevant","abstract","abstract",0,"10.12905/0380.sydowia75-2023-0221","nicotiana tabacum (tobacco)","trichoderma harzianum",NA,"present","endophytic","pathogenic","isolated from tobacco plants","exhibiting inhibitory effects against s. sclerotiorum and showing positive tropism and anastomosis toward it.","agricultural field",NA,"Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.biocontrol.2023.105249","sorghum bicolor l.","rhizoctonia solani","seeds","present","pathogenic","isolated from sorghum seeds","causes infection in seedlings",NA,NA,"abstract-csv,doi_10.1016_j.biocontrol.2023.105249","Abstract"
"Relevant","full-text","full-text",12,"10.22194/jgias/25.1538","saccharum officinarum l.","trichoderma virens","sugarcane plants","present","endophytic","isolated from sugarcane tissue","tested for inhibitory capacity against fusarium sacchari",NA,"indonesia","full-text,doi_10.22194_jgias_25.1538","Full-Text"
"Relevant","abstract","abstract",0,NA,"dendrobium speciosum","deuteromycetes (non-mycorrhizal deuteromycetes and tulasnellalike fungus)","root","present","endophytic","isolated from roots using morphological criteria and molecular techniques","southern queensland rainforests","australia","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract",0,NA,"focuses on 15 different plants used in traditional indian medicine","aspergillus oryzae",NA,"present","antifungal",NA,"pathogenic","mutualistic","saprotrophic",NA,"Abstract"
"Relevant","abstract","abstract",0,"10.3923/ajcs.2015.87.112","triticum aestivum (wheat)","seed-borne fungi (unspecified species)","seeds","present","pathogenic","soaked seeds","seed-borne","agricultural","egypt","abstract-csv,doi_10.3923_ajcs.2015.87.112","Abstract"
"Relevant","abstract","abstract",0,"10.1111/j.1469-8137.1981.tb03208.x","several related genera","rhizoctonia",NA,"present","endophytic","isolated from field-growing orchids","generally associated",NA,"australia","abstract-csv,doi_10.1111_j.1469-8137.1981.tb03208.x","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s42770-021-00493-4","hordeum vulgare l. (barley)","alternaria sp.","root","present","endophytic","isolated from surface-sterilized roots of barley plants growing in a cadmium-contaminated soil.","(not provided in text)","iran","abstract-csv","doi_10.1007_s42770-021-00493-4","Abstract"
"Relevant","abstract","abstract",0,"10.3109/13880209.2016.1170154","taxus fuana (west himalayan yew)","mucor","leaves and woody parts","present","endophytic","isolated from taxus fuana","identified by molecular analysis of internal transcribed spacer (its) regions of 18s rdna.","(not provided in text)","pakistan","abstract-csv,doi_10.3109_13880209.2016.1170154","Abstract"
"Relevant","full-text","full-text",6,"10.1371/journal.pone.0046785","acer ginnala maxim.","pleosporales incertae sedis sp.","seeds","annual twigs","perennial twigs (xylem and bark)","present","endophytic","isolated from surface-sterilized roots","national forest park","china,full-text,doi_10.1371_journal.pone.0046785","Full-Text"
"Relevant","abstract","abstract",0,NA,"carica papaya (papaya)","colletotrichum gloeosporioides","pericarp","laminae","leafstalk","present","pathogenic","isolated from papaya fruit as pathogens causing postharvest decay (anthracnose and blight diseases)",NA,NA,"Abstract"
"Relevant","abstract","abstract",0,"10.1093/aob/mcw015","epipactis palustris","inocybaceae (ectomycorrhizal)","(not explicitly stated in the text)","present","mycorrhizal (ecto- and endomycorrhizal)","associations detected through 454 amplicon pyrosequencing in different habitatsforest","coastal dunes.","forest","coastal dunes","(not explicitly stated in the text),abstract-csv,doi_10.1093_aob_mcw015","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s10600-015-1309-5","eragrostis amabilis (l.) wight & arn.","phomopsis sp. 11f0023","leaves","present","endophytic","isolated from leaves of the species eragrostis amabilis collected in the 19 hectares grassland area","siangshan district","hsinchu city","taiwan.","grassland,taiwan,abstract-csv,doi_10.1007_s10600-015-1309-5","Abstract"
"Relevant","abstract","abstract",0,NA,"zea mays (maize)","aspergillus niger","seeds","present","pathogenic","seeds were coated with essential oils to control seed-borne fungi. the presence of these fungi was detected via the blotter method.",NA,NA,"abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract",0,"10.3390/jof8020180","cucumis sativus (cucumber)","chaetomium globosum","root","present","endophytic","mutualistic",NA,NA,NA,"abstract-csv,doi_10.3390_jof8020180","Abstract"
"Relevant","full-text","full-text",12,"10.1038/s41598-020-60350-6","c. sinensis (l.) osbeck","b. velezensis","leaf","present","endophytic","isolated from leaves of healthy and asymptomatic/symptomatic plants with huanglongbing","citrus growing regions in china","china","full-text","doi_10.1038_s41598-020-60350-6","Full-Text"
"Relevant","abstract","abstract",0,"10.1111/grs.12076","sorghum (sorghum spp.)","epichloe (neotyphodium) endophytes",NA,"present","mutualistic","symbiotic fungi in association with gramineous plants","produce alkaloids that enhance the resistance of host plants to insect pests.","meadows",NA,"abstract-csv,doi_10.1111_grs.12076","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.sajb.2020.06.023","medicinal plants (various species)","endophytes (various species)","internal tissues","present","mutualistic","dwell within the internal tissues of healthy plants without causing infection symptoms.",NA,NA,"abstract-csv","doi_10.1016_j.sajb.2020.06.023","Abstract"
"Relevant","full-text","full-text",17,"10.1038/s41598-021-81937-7","brassica napus (oilseed rape)","alternaria","roots and shoots","present","endophytic","pathogenic","investigated the effect of phoma stem canker infection on bacterial and fungal endophyte communities in oilseed rape.","temperate regions of europe","czech republic","full-text,doi_10.1038_s41598-021-81937-7","Full-Text"
"Relevant","abstract","abstract",0,"10.1111/j.1469-8137.1994.tb04265.x","stipa tenacissima l.","glomus mosseae (nicol. and gerd.) gerd. and trappe",NA,"present","mycorrhizal","inoculated plants developed better than non-inoculated controls","with glomus aggregatum showing a particularly positive effect in a field experiment.","mediterranean semi-arid","spain (south-east)","abstract-csv,doi_10.1111_j.1469-8137.1994.tb04265.x","Abstract"
"Relevant","abstract","abstract",0,NA,"peanut","helminthosporium sativum",NA,"present","pathogenic","isolated from seed samples collected from commercial markets in egypt.","agricultural field or storage","egypt","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract",0,"10.25303/1806rjbt049057","camellia sinensis","p. chrysogenum f1","root","stem","leaf","present","endophytic","saprotrophic","isolated from surface-sterilized roots",NA,"Abstract"
"Relevant","abstract","abstract",0,NA,"quercus robur","tubakia dryina","annual shoots","present","endophytic","isolated from oak trees; frequency of tubakia dryina and monochaetia monochaeta were significantly different between water-stressed and control trees.","oak plain forest","italy","abstract-csv","doi_nan","Abstract"
"Relevant","full-text","full-text",11,"10.1038/s41598-018-26183-0","ammopiptanthus mongolicus","paraconiothyrium sp.","root","present","endophytic","saprotrophic",NA,NA,"desert","china, arid southwestern usa,full-text,doi_10.1038_s41598-018-26183-0","Full-Text"
"Relevant","abstract","abstract",0,"10.1016/j.marpolbul.2021.113091","rhizophora sp. (mangroves)","acremonium","sediments","plant tissues","decayed leaves","present","endophytic","phytopathogenic","lignin-degrading",NA,"Abstract"
"Relevant","abstract","abstract",0,"10.1007/s11274-023-03683-4","glycine max (soybean)","genehistone-3","seed","present","pathogenic","isolated from imported transgenic and non-transgenic soybean seeds",NA,"india","abstract-csv","doi_10.1007_s11274-023-03683-4","Abstract"
"Relevant","abstract","abstract",0,"10.1002/fsn3.4125","zea mays (maize)","fusarium verticillioides","grains","present","pathogenic","isolated as a major producer of zearalenone.","agricultural lands in sub-saharan africa","multiple countries in sub-saharan africa","abstract-csv","doi_10.1002_fsn3.4125","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s13199-021-00782-4","nothofagus sp.","apiotrichum porossum","ectomycorrhizosphere","present","mutualistic (ectomycorrhizal)","isolated from ectomycorrhizosphere","northwestern patagonian forest","argentina","abstract-csv","doi_10.1007_s13199-021-00782-4","Abstract"
"Relevant","abstract","abstract",0,"10.1007/bf02358097","solanum tuberosum (potato)","helminthosporium solani","tuber","present","pathogenic","isolated from naturally contaminated seed tubers and tubers inoculated by dipping in comminuted cultures.",NA,"(not provided in text)","abstract-csv","doi_10.1007_bf02358097","Abstract"
"Relevant","abstract","abstract",0,"10.2135/cropsci2005.05-0054","festuca arundinacea schreb.","mj. chr.","seed","plant tissue","present","endophytic","isolated from seed and plant tissue except roots",NA,NA,"abstract-csv,doi_10.2135_cropsci2005.05-0054","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s13225-012-0153-1","4. rhododendron webbianum","20 talaromyces flavus","stems and leaf segments","present","endophytic",NA,"000-4",NA,"southwest china","mountainous,china,abstract-csv,doi_10.1007_s13225-012-0153-1","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.funeco.2015.12.009","european beech (fagus sylvatica)","multiple leaf-inhabiting fungi","leaves","present","endophytic","isolated from surface-sterilized leaves along an elevation gradient of about 1000 m in the bavarian alps","germany","in autumn 2013.","mountain forest","germany,abstract-csv,doi_10.1016_j.funeco.2015.12.009","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.fitote.2020.104758","rhodobryum umgiganteum (moss)","botrysphaeria laricina","associated with moss","present",NA,"associated with the plant",NA,"(not provided in the text)","(not provided in the text)","abstract-csv,doi_10.1016_j.fitote.2020.104758","Abstract"
"Relevant","abstract","abstract",0,"10.1080/23818107.2018.1436087","stanhopea connata klotzsch","serendipita sp.","roots","present","mycorrhizal (symbiotic relationship with plants)","isolated from surface-sterilized roots",NA,"ecuador","abstract-csv","doi_10.1080_23818107.2018.1436087","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s13199-018-0542-7","cassia siamea","dictyosporium sp.","root","present","endophytic","isolated from surface-sterilized roots of the specified plant hosts grown in forest soils.","tropical forest","indonesia","indonesia","abstract-csv,doi_10.1007_s13199-018-0542-7","Abstract"
"Relevant","abstract","abstract",0,"10.3390/f15112012","pinus heldreichii h. christ","hygrocybe conica (schaeff.) p. kumm.","soil","present",NA,"isolated from post-fire soil environments","high-altitude pine forest","montenegro","abstract-csv","doi_10.3390_f15112012","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.pld.2016.11.006","paris polyphylla var. yunnanensis","trichoderma viride","rhizomes","present","endophytic",NA,"six",NA,NA,"china,abstract-csv,doi_10.1016_j.pld.2016.11.006","Abstract"
"Relevant","abstract","abstract",0,"10.1094/pd-77-0837","arachis hypogaea (peanut)","cercosporidium personatum","leaf surface","present","pathogenic","causative agent of late leaf spot",NA,NA,"abstract-csv","doi_10.1094_pd-77-0837","Abstract"
"Relevant","abstract","abstract",0,"10.13057/biodiv/d221253","syzygium malaccense (l.) merr and perry","phytophthora","leaves","stem bark","root bark","present","endophytic","isolated from leaves","stem bark",NA,"Abstract"
"Relevant","full-text","full-text",10,"10.1264/jsme2.me18138","pisum sativum l.","dark septate endophytes (dse)","root","present","endophytic","found in conventional soils","agricultural","hungary","full-text","doi_10.1264_jsme2.me18138","Full-Text"
"Uncertain","trunk","present",NA,"isolated from symptomatic trunks and pathogenicity tests performed under greenhouse conditions for 15 days.","vineyard","morocco","abstract-csv","doi_10.1007_s40858-024-00656-2",NA,NA,NA,NA,NA,NA,"Other/Unknown"
"Relevant","abstract","abstract",0,"10.1016/j.micres.2021.126720","cicer arietinum l.","mesorhizobium sp. ch1233","root","present","mutualistic (symbiotic nitrogen fixation)","isolated as a symbiont in root","agricultural zones","india","abstract-csv","doi_10.1016_j.micres.2021.126720","Abstract"
"Relevant","abstract","abstract",0,"10.1093/aob/mcw015","epipactis helleborine","tuber","(not explicitly stated in the text)","present","mycorrhizal (ecto- and endomycorrhizal)","associations detected through 454 amplicon pyrosequencing in different habitatsforest","coastal dunes.","forest","coastal dunes","(not explicitly stated in the text),abstract-csv,doi_10.1093_aob_mcw015","Abstract"
"Relevant","abstract","abstract",0,"10.7501/j.issn.0253-2670.2013.11.025","polygonatum sibiricum","alternaria sp.","roots","stems","leaves","fruits","present","endophytic","isolated from various plant tissues using conventional method and screened for antimicrobial activity",NA,"Abstract"
"Relevant","abstract","abstract",0,"10.1007/s10482-021-01561-3","typha angustifolia l. (cattail)","streptomyces typhae sp. nov.","root","present","endophytic","isolated from root","antifungal activity against various phytopathogenic fungi.",NA,"yunnan province","southwest china,abstract-csv,doi_10.1007_s10482-021-01561-3","Abstract"
